feature,direction,lag,bucket_type,bucket,label,extreme_deciles,coverage,rows,row_share,events,rate,base,lift,ci_low,ci_high,rho,rho_deciles,sufficient,pass_build,window,pass_holdout
pb,LOW,0,all,ALL,win_50,1,0.9664285042536265,44536,0.11713187856536067,5430,0.12192383689599426,0.11620084108978726,1.049250898294143,1.0233798192492944,1.0756832159524499,0.6484848484848484,10,True,False,build,
pb,LOW,0,all,ALL,win_100,1,0.9664285042536265,44536,0.11713187856536067,1571,0.03527483384228489,0.026608209436091115,1.3257124244684595,1.2628150212829932,1.3916225427168658,0.47878787878787876,10,True,False,build,
pb,LOW,0,all,ALL,launch_300,1,0.9664285042536265,44536,0.11713187856536067,399,0.008959044368600682,0.006293708132901654,1.4234921892493606,1.2910172807994769,1.5694253490521055,0.47878787878787876,10,True,False,build,
pb,LOW,0,drawdown,0-10,win_50,1,0.9645634467859832,33992,0.11587760445074724,3246,0.09549305718992704,0.10147131013417694,0.9410843031755007,0.9107433016141604,0.9723262182511344,0.8181818181818182,10,True,False,build,
pb,LOW,0,drawdown,0-10,win_100,1,0.9645634467859832,33992,0.11587760445074724,745,0.0219169216286185,0.02188215883058798,1.0015886365828734,0.9328895241973997,1.0752253227186797,0.7212121212121212,10,True,False,build,
pb,LOW,0,drawdown,0-10,launch_300,1,0.9645634467859832,33992,0.11587760445074724,177,0.005207107554718757,0.005096405585251445,1.0217215776129893,0.8821727812117989,1.1832115478779954,0.6571428571428571,6,True,False,build,
pb,LOW,0,drawdown,10-20,win_50,1,0.9725735142915896,4482,0.11845548008563046,318,0.07095046854082998,0.0790231783703782,0.8978437719663491,0.8073041214979195,0.9976824000617521,0.9151515151515152,10,True,False,build,
pb,LOW,0,drawdown,10-20,win_100,1,0.9725735142915896,4482,0.11845548008563046,75,0.01673360107095047,0.01506461928799852,1.1107881819676366,0.8875783274600414,1.3889408257615914,,1,False,False,build,
pb,LOW,0,drawdown,10-20,launch_300,1,0.9725735142915896,4482,0.11845548008563046,11,0.0024542614904060687,0.004070090123424162,0.6029992987824313,0.33684771933426144,1.0785193336451289,,0,False,False,build,
pb,LOW,0,drawdown,20-30,win_50,1,0.9707320505153552,3305,0.11976807392643594,593,0.1794251134644478,0.18467113607537597,0.9715926228515379,0.9027827892114033,1.0444331585965632,0.6848484848484848,10,True,False,build,
pb,LOW,0,drawdown,20-30,win_100,1,0.9707320505153552,3305,0.11976807392643594,123,0.03721633888048412,0.037760463852147125,0.9855900877226097,0.8284207007570544,1.1712165932169105,,4,True,False,build,
pb,LOW,0,drawdown,20-30,launch_300,1,0.9707320505153552,3305,0.11976807392643594,13,0.003933434190620273,0.004203660083348433,0.9357165214669518,0.547192037548147,1.5982485949329903,,0,False,False,build,
pb,LOW,0,drawdown,>30,win_50,1,0.9757928743686581,2757,0.12856143623222197,1273,0.4617337685890461,0.2951737001632082,1.5642781465074396,1.5014577568959626,1.6274592997509707,-0.806060606060606,10,True,True,build,
pb,LOW,0,drawdown,>30,win_100,1,0.9757928743686581,2757,0.12856143623222197,628,0.22778382299601016,0.09727209139659594,2.341718161145464,2.184733806162892,2.5064902372936064,-0.5757575757575758,10,True,False,build,
pb,LOW,0,drawdown,>30,launch_300,1,0.9757928743686581,2757,0.12856143623222197,198,0.07181719260065289,0.029284215434833293,2.452419897007964,2.143265506873069,2.802263599337711,,1,True,False,build,
pb,LOW,0,mst,0-12,win_50,1,0.964755681722742,33647,0.11716589941986391,4442,0.1320177133176806,0.11915424098281878,1.1079564791715357,1.077953242896091,1.1386648104962962,0.6363636363636364,10,True,False,build,
pb,LOW,0,mst,0-12,win_100,1,0.964755681722742,33647,0.11716589941986391,1339,0.03979552411804916,0.027976070257056698,1.4224844215928116,1.3496830714954058,1.4990415018729797,0.47878787878787876,10,True,False,build,
pb,LOW,0,mst,0-12,launch_300,1,0.964755681722742,33647,0.11716589941986391,362,0.010758760067762356,0.007173351347963256,1.4998233804366925,1.3537522292774924,1.6614660588892376,0.48333333333333334,9,True,False,build,
pb,LOW,0,mst,13-24,win_50,1,0.9666637191617296,3865,0.11784973777289913,352,0.09107373868046571,0.1199231613611416,0.7594341046947759,0.6871451947424536,0.8384945505376714,0.9030303030303031,10,True,False,build,
pb,LOW,0,mst,13-24,win_100,1,0.9666637191617296,3865,0.11784973777289913,76,0.01966364812419146,0.024972557628979142,0.7874102611489416,0.6302787922637151,0.9827385917758702,,2,False,False,build,
pb,LOW,0,mst,13-24,launch_300,1,0.9666637191617296,3865,0.11784973777289913,11,0.0028460543337645535,0.003384559092572265,0.840893675046327,0.4697695446803478,1.503716201339162,,0,False,False,build,
pb,LOW,0,mst,>24,win_50,1,0.974351925222763,7024,0.11657897794227481,636,0.09054669703872438,0.10009792368591393,0.9045811711623583,0.8397545260393716,0.9738796283015678,0.8545454545454545,10,True,False,build,
pb,LOW,0,mst,>24,win_100,1,0.974351925222763,7024,0.11657897794227481,156,0.022209567198177675,0.020978904914441255,1.0586618933998442,0.9064115700146798,1.2358098957963768,0.6428571428571429,8,True,False,build,
pb,LOW,0,mst,>24,launch_300,1,0.974351925222763,7024,0.11657897794227481,26,0.003701594533029613,0.003684586147947752,1.0046160910340867,0.6859366906780896,1.470546539155159,,0,False,False,build,
pb,LOW,3,all,ALL,win_50,1,0.9690515950781462,45059,0.11818661099060204,5095,0.11307396968419184,0.11581285917750156,0.9763507307153868,0.9513870891287168,1.0018839838375106,0.793939393939394,10,True,False,build,
pb,LOW,3,all,ALL,win_100,1,0.9690515950781462,45059,0.11818661099060204,1465,0.03251292749506203,0.026488971890057257,1.227413718811257,1.1670805449774626,1.290755822856816,0.5878787878787879,10,True,False,build,
pb,LOW,3,all,ALL,launch_300,1,0.9690515950781462,45059,0.11818661099060204,350,0.007767593599502874,0.006268803130729463,1.239087181000531,1.1163060240556788,1.3752556437113435,0.5757575757575758,10,True,False,build,
pb,LOW,3,drawdown,0-10,win_50,1,0.9675523886873975,34492,0.11721885588252286,3090,0.08958599095442421,0.10113065967041968,0.885844028372612,0.8564921769143985,0.9160997348577952,0.9030303030303031,10,True,False,build,
pb,LOW,3,drawdown,0-10,win_100,1,0.9675523886873975,34492,0.11721885588252286,743,0.021541226951177085,0.021770381270539298,0.9894740327918687,0.9215060492807287,1.0623368498585475,0.696969696969697,10,True,False,build,
pb,LOW,3,drawdown,0-10,launch_300,1,0.9675523886873975,34492,0.11721885588252286,164,0.004754725733503421,0.005050075955045488,0.9415156872547659,0.8082765641278966,1.0965962807310992,0.7857142857142857,7,True,False,build,
pb,LOW,3,drawdown,10-20,win_50,1,0.9738330248817603,4464,0.11782716570764927,315,0.07056451612903226,0.07849865385630576,0.8989264485758293,0.8078524424235597,0.9994077364135217,0.7818181818181819,10,True,False,build,
pb,LOW,3,drawdown,10-20,win_100,1,0.9738330248817603,4464,0.11782716570764927,78,0.01747311827956989,0.01501874043182178,1.1634210178203601,0.9337445356652461,1.4483454836051495,,1,False,False,build,
pb,LOW,3,drawdown,10-20,launch_300,1,0.9738330248817603,4464,0.11782716570764927,11,0.00246415770609319,0.004091221031515599,0.6023037345357845,0.3364596906081288,1.0772698441297743,,0,False,False,build,
pb,LOW,3,drawdown,20-30,win_50,1,0.9714004291694516,3364,0.12182226406895054,563,0.1673602853745541,0.1840732961541247,0.9092045879073258,0.8427433826867717,0.9797882664690645,0.8303030303030303,10,True,False,build,
pb,LOW,3,drawdown,20-30,win_100,1,0.9714004291694516,3364,0.12182226406895054,112,0.03329369797859691,0.03733613384515101,0.8917285897002667,0.7430791274930181,1.0688940689878466,0.9,5,True,False,build,
pb,LOW,3,drawdown,20-30,launch_300,1,0.9714004291694516,3364,0.12182226406895054,11,0.0032699167657550534,0.004128340696748027,0.7920656278031583,0.44252124127582815,1.4160955587600972,,0,False,False,build,
pb,LOW,3,drawdown,>30,win_50,1,0.9782954907403194,2739,0.1273953488372093,1127,0.4114640379700621,0.2948372093023256,1.3955634668490826,1.333520326933912,1.458447736328704,-0.7333333333333333,10,True,False,build,
pb,LOW,3,drawdown,>30,win_100,1,0.9782954907403194,2739,0.1273953488372093,532,0.19423147133990507,0.09734883720930232,1.99521100516386,1.847462994141022,2.1517570878321575,-0.5272727272727272,10,True,False,build,
pb,LOW,3,drawdown,>30,launch_300,1,0.9782954907403194,2739,0.1273953488372093,164,0.059875867104782765,0.029534883720930234,2.027293138193432,1.746811101076568,2.349516420103305,,1,True,False,build,
pb,LOW,3,mst,0-12,win_50,1,0.9674902994977576,34025,0.11814728391460755,4112,0.12085231447465099,0.11880356125949693,1.0172448804853507,0.9884519241826842,1.0467583765820876,0.6363636363636364,10,True,False,build,
pb,LOW,3,mst,0-12,win_100,1,0.9674902994977576,34025,0.11814728391460755,1211,0.03559147685525349,0.02785532730530439,1.277726032983139,1.20891555974289,1.3503006910252981,0.4666666666666667,10,True,False,build,
pb,LOW,3,mst,0-12,launch_300,1,0.9674902994977576,34025,0.11814728391460755,314,0.00922850844966936,0.0071634929233162494,1.2882693608353755,1.153967829358247,1.4380388691111161,0.6121212121212121,10,True,False,build,
pb,LOW,3,mst,13-24,win_50,1,0.9678721961859286,3850,0.11724578981027499,337,0.08753246753246753,0.11946889179888541,0.7326799990730656,0.661356096017696,0.8108867357815686,0.9636363636363636,10,True,False,build,
pb,LOW,3,mst,13-24,win_100,1,0.9678721961859286,3850,0.11724578981027499,74,0.01922077922077922,0.024880470201297317,0.7725247579837543,0.6164984438297983,0.9670740140426644,,2,False,False,build,
pb,LOW,3,mst,13-24,launch_300,1,0.9678721961859286,3850,0.11724578981027499,9,0.0023376623376623377,0.0033194262569662273,0.7042368640533778,0.3706542669426735,1.336704440845991,,0,False,False,build,
pb,LOW,3,mst,>24,win_50,1,0.9772142891796174,7184,0.11888528496723373,646,0.08992204899777283,0.09957304560799629,0.9030762135345548,0.838823734998874,0.9717307152295503,0.8181818181818182,10,True,False,build,
pb,LOW,3,mst,>24,win_100,1,0.9772142891796174,7184,0.11888528496723373,180,0.02505567928730512,0.020851261004832197,1.2016385618835508,1.0401003697105857,1.3875233399757683,0.6428571428571429,8,True,False,build,
pb,LOW,3,mst,>24,launch_300,1,0.9772142891796174,7184,0.11888528496723373,27,0.0037583518930957684,0.003607599126232872,1.0417875605320692,0.7163568105651781,1.5142471849661565,,0,False,False,build,
pb,LOW,6,all,ALL,win_50,1,0.9678950967010566,44501,0.11686248352144707,4862,0.10925597177591514,0.11584357060698848,0.9431336689938326,0.9184040258623893,0.9684456021369517,0.8666666666666667,10,True,False,build,
pb,LOW,6,all,ALL,win_100,1,0.9678950967010566,44501,0.11686248352144707,1302,0.029257769488326105,0.026504866096985803,1.103864074667156,1.0463038761557155,1.1644903036914462,0.5757575757575758,10,True,False,build,
pb,LOW,6,all,ALL,launch_300,1,0.9678950967010566,44501,0.11686248352144707,254,0.005707736904788656,0.0062736674037153555,0.9097927157261242,0.8048253975569597,1.0283613598322237,0.6606060606060606,10,True,False,build,
pb,LOW,6,drawdown,0-10,win_50,1,0.966460717937926,34398,0.11703144722561505,3094,0.08994708994708994,0.10109519224553537,0.8897266818448752,0.8602704985644243,0.9200887101229441,0.9272727272727272,10,True,False,build,
pb,LOW,6,drawdown,0-10,win_100,1,0.966460717937926,34398,0.11703144722561505,739,0.02148380719809291,0.021760949370749284,0.9872642425688971,0.9192693816813355,1.060170028378149,0.7090909090909091,10,True,False,build,
pb,LOW,6,drawdown,0-10,launch_300,1,0.966460717937926,34398,0.11703144722561505,139,0.004040932612361184,0.005045573470422325,0.8008866853390503,0.6785459335879224,0.9451797252393518,0.8571428571428571,7,True,False,build,
pb,LOW,6,drawdown,10-20,win_50,1,0.9718280896565906,4409,0.11661553110452814,310,0.07031072805624858,0.07850190435886585,0.8956563363715115,0.804210885567113,0.9966315518914358,0.9151515151515152,10,True,False,build,
pb,LOW,6,drawdown,10-20,win_100,1,0.9718280896565906,4409,0.11661553110452814,80,0.018144704014515765,0.014996826068556918,1.2099029442342364,0.9737916139663162,1.5019546196765834,,1,False,False,build,
pb,LOW,6,drawdown,10-20,launch_300,1,0.9718280896565906,4409,0.11661553110452814,10,0.0022680880018144706,0.003993863732543377,0.56789318657352,0.30859138700344035,1.044170189048072,,0,False,False,build,
pb,LOW,6,drawdown,20-30,win_50,1,0.9685158476096669,3278,0.11906145576056952,602,0.18364856619890177,0.18414935347958739,0.9972805373941152,0.9273264263829208,1.071256334746879,0.6242424242424243,10,True,False,build,
pb,LOW,6,drawdown,20-30,win_100,1,0.9685158476096669,3278,0.11906145576056952,127,0.0387431360585723,0.03722940578236234,1.040659533624012,0.8772242629650752,1.2330993003900672,0.9,5,True,False,build,
pb,LOW,6,drawdown,20-30,launch_300,1,0.9685158476096669,3278,0.11906145576056952,15,0.004575960951799878,0.004140636350428592,1.1051347098680198,0.6702115118786164,1.82016143182886,,0,False,False,build,
pb,LOW,6,drawdown,>30,win_50,1,0.9799790690267097,2416,0.11217904072062032,856,0.3543046357615894,0.29535218461252727,1.1996005251371404,1.1358555494580658,1.2649116921529993,-0.15151515151515152,10,True,False,build,
pb,LOW,6,drawdown,>30,win_100,1,0.9799790690267097,2416,0.11217904072062032,356,0.14735099337748345,0.09773877513116962,1.5076001635966085,1.3687205758382777,1.6579352775850673,-0.296969696969697,10,True,False,build,
pb,LOW,6,drawdown,>30,launch_300,1,0.9799790690267097,2416,0.11217904072062032,90,0.037251655629139076,0.029762733899800345,1.2516207601946463,1.0215848733185557,1.5310207584480575,,1,False,False,build,
pb,LOW,6,mst,0-12,win_50,1,0.9664690171837468,33610,0.11682957689687296,3854,0.11466825349598334,0.11887348618623211,0.9646243007994172,0.9363387913215978,0.9936507072643378,0.806060606060606,10,True,False,build,
pb,LOW,6,mst,0-12,win_100,1,0.9664690171837468,33610,0.11682957689687296,1038,0.03088366557572151,0.027909094701130406,1.106580700894989,1.042207054016584,1.174796219345875,0.5151515151515151,10,True,False,build,
pb,LOW,6,mst,0-12,launch_300,1,0.9664690171837468,33610,0.11682957689687296,217,0.006456411782207677,0.007184966838614591,0.8986000808672633,0.7870256935935315,1.0258747982339622,0.7333333333333333,10,True,False,build,
pb,LOW,6,mst,13-24,win_50,1,0.9658089427299791,3806,0.11615344706564532,344,0.09038360483447189,0.11935789056062501,0.7572486779880185,0.6843493545999825,0.837068628929172,0.9515151515151515,10,True,False,build,
pb,LOW,6,mst,13-24,win_100,1,0.9658089427299791,3806,0.11615344706564532,81,0.021282186022070416,0.024689474166081728,0.8619943008469485,0.6949001934316338,1.068189333060625,,2,False,False,build,
pb,LOW,6,mst,13-24,launch_300,1,0.9658089427299791,3806,0.11615344706564532,11,0.002890173410404624,0.0032959990234076968,0.8768732605437808,0.4898731496982032,1.5680210841300717,,0,False,False,build,
pb,LOW,6,mst,>24,win_50,1,0.9759043938095315,7085,0.11740434487215604,664,0.09371912491178547,0.0994912754569407,0.941983349608847,0.8759703090107395,1.0124221954789625,0.8303030303030303,10,True,False,build,
pb,LOW,6,mst,>24,win_100,1,0.9759043938095315,7085,0.11740434487215604,183,0.02582921665490473,0.020796394186952127,1.2420045716920602,1.0763707222001364,1.4323498394232348,0.6071428571428571,7,True,False,build,
pb,LOW,6,mst,>24,launch_300,1,0.9759043938095315,7085,0.11740434487215604,26,0.003669724770642202,0.0035461580525958207,1.0348452370745091,0.7065737879121572,1.5148090084826014,,0,False,False,build,
pb,LOW,12,all,ALL,win_50,1,0.9582491377097265,44068,0.11689031652268018,4823,0.10944449487156213,0.11533064723622889,0.9489628081891338,0.923983637632813,0.9745323198479624,0.8787878787878788,10,True,False,build,
