system,date,equity,cash,positions
S-A_canslim,2021-12-15,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-16,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-17,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-20,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-21,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-22,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-23,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-27,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-28,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-29,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-30,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-31,106543.18998062659,106543.18998062659,0
S-A_canslim,2022-01-03,106326.23476012658,95897.83476012659,1
S-A_canslim,2022-01-04,106550.98476012658,95897.83476012659,1
S-A_canslim,2022-01-05,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-06,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-07,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-10,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-11,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-12,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-13,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-14,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-18,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-19,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-20,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-21,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-24,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-25,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-26,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-27,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-28,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-01-31,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-01,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-02,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-03,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-04,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-07,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-08,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-09,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-10,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-11,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-14,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-15,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-16,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-17,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-18,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-22,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-23,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-24,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-25,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-02-28,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-01,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-02,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-03,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-04,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-07,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-08,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-09,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-10,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-11,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-14,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-15,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-16,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-17,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-18,105647.55827997373,105647.55827997373,0
S-A_canslim,2022-03-21,105554.43684592089,95134.33284592089,1
