flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes
h15_near_high,0,mst,13-24,33927,33786,20346,43,12,launch_500,0.9958440180387302,0.6022020955425325,0.0012727165097969574,0.0005897965202005308,0.46341547049988685,0.26512734339572375,0.8098499243852112,12,False,False
h15_near_high,0,mst,>24,61837,61396,33742,68,18,launch_500,0.9928683474295324,0.5495797771841814,0.0011075640106847351,0.0005334597830596882,0.4816514241284208,0.3047040618708555,0.7612687686832466,18,False,False
h15_near_high,3,all,ALL,393429,386687,200751,585,110,launch_500,0.9828634899816739,0.519156320227988,0.0015128514793618611,0.0005479424760026102,0.3621918499453356,0.3005493518860765,0.43646883664307423,110,True,False
h15_near_high,3,drawdown,0-10,304121,298437,168891,377,77,launch_500,0.9813100706626638,0.5659184350465928,0.001263248189735187,0.00045591535368965784,0.3609071894140064,0.2888086659048152,0.45099421230073833,77,False,False
h15_near_high,3,drawdown,10-20,38904,38310,16497,49,14,launch_500,0.9847316471314004,0.43061863743148004,0.0012790394152962673,0.000848639146511487,0.6634972592419401,0.39529866412208164,1.113401501362062,14,False,False
h15_near_high,3,drawdown,20-30,28427,28170,12926,36,15,launch_500,0.990959299257748,0.45885694000709976,0.0012779552715654952,0.0011604518025684666,0.9080535355098251,0.5504111344584967,1.497637301311363,15,False,False
h15_near_high,3,drawdown,>30,21977,21770,2437,123,4,launch_500,0.9905810620193839,0.11194304088194763,0.005649977032613688,0.0016413623307345096,0.29050778813081524,0.11300455305539273,0.7456509496770742,4,False,False
h15_near_high,3,mst,0-12,297665,292274,147545,477,80,launch_500,0.9818890363327902,0.5048173973736972,0.0016320302182198894,0.0005422074621301976,0.33222881296989804,0.266980821872264,0.41341213101403906,80,False,False
h15_near_high,3,mst,13-24,33927,33585,19067,43,15,launch_500,0.989919533115218,0.5677236861694209,0.0012803334822093196,0.0007866995332249437,0.614448926124645,0.37242377819777744,1.0135535246194625,15,False,False
h15_near_high,3,mst,>24,61837,60828,34139,65,15,launch_500,0.9836829082911526,0.5612382455448149,0.0010685868350101928,0.0004393801810246346,0.41117873309794567,0.2492067628444973,0.6783480775189091,15,False,False
