flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes,window,confirm
h9_rs12_top_decile,0,mst,13-24,14356,14279,1430,109,24,launch_500,0.9946363889662859,0.10014706912248757,0.007633587786259542,0.016783216783216783,2.1986013986013986,1.4808119265873996,3.255577212800712,24,False,False,holdout,False
h9_rs12_top_decile,3,all,ALL,135729,125313,12171,496,63,launch_500,0.9232588466724134,0.09712479950204687,0.003958088945281016,0.0051762385999507025,1.307762071926658,1.0227598822155357,1.6716553353592902,63,False,False,holdout,False
h9_rs12_top_decile,3,drawdown,0-10,98461,90720,8793,351,53,launch_500,0.9213800387970872,0.09692460317460318,0.003869047619047619,0.00602752189241442,1.5578825814240347,1.191875642677667,2.0353954843536415,53,False,False,holdout,False
h9_rs12_top_decile,3,drawdown,10-20,34770,32300,3159,133,9,launch_500,0.9289617486338798,0.09780185758513932,0.00411764705882353,0.002849002849002849,0.6919006919006919,0.3641919577781569,1.3128931470881096,9,False,False,holdout,False
h9_rs12_top_decile,3,drawdown,20-30,2498,2293,219,12,1,launch_500,0.9179343474779824,0.09550806803314435,0.005233318796336677,0.0045662100456621,0.8725266362252663,0.15410936913427273,4.854857275453297,1,False,False,holdout,False
h9_rs12_top_decile,3,mst,0-12,121373,111776,10844,403,44,launch_500,0.9209296960609031,0.09701545949040939,0.003605425135986258,0.004057543341940244,1.125399415852885,0.8387597871847366,1.5094611838090735,44,False,False,holdout,False
h9_rs12_top_decile,3,mst,13-24,14356,13537,1327,93,19,launch_500,0.9429506826414042,0.0980276279825663,0.006870059836005023,0.014318010550113038,2.0841172991062384,1.3369925738932025,3.2393652796021595,19,False,False,holdout,False
h9_rs12_top_decile,6,all,ALL,135729,121619,11649,476,57,launch_500,0.8960428500909902,0.09578273131665282,0.003913862143250644,0.004893123873293845,1.2502034292985802,0.9655215299337406,1.6182895016077228,57,False,False,holdout,False
h9_rs12_top_decile,6,drawdown,0-10,98461,87947,8438,334,44,launch_500,0.8932166035283006,0.09594414818015395,0.003797741821779026,0.0052145058070632855,1.3730543180053736,1.0234661732288424,1.8412140175198892,44,False,False,holdout,False
h9_rs12_top_decile,6,drawdown,10-20,34770,31418,2987,131,12,launch_500,0.9035950532067875,0.09507288815328792,0.004169584314724043,0.004017408771342484,0.9635034257865509,0.5515303231274953,1.6810435389314908,12,False,False,holdout,False
