feature,lag,decile,rows,k_win,k_loss,median_fwd_12m,coverage,win_100_rate,loss_50_rate,ratio,sufficient
eps_growth_q0,3,7,41338,669,1293,0.08580577881342422,0.7408394499192217,0.016183656683922784,0.031278726595384394,0.5174013921113689,True
eps_growth_q0,3,8,41298,893,1610,0.08343867427453755,0.7408394499192217,0.021623323163349313,0.03898493873795341,0.5546583850931677,True
eps_growth_q0,3,9,41466,1237,1879,0.07532276678621641,0.7408394499192217,0.029831669319442436,0.04531423334780302,0.6583288983501863,True
eps_growth_q0,3,10,41246,1551,2479,0.06031647562937703,0.7408394499192217,0.03760364641419774,0.06010279784706396,0.6256555062525212,True
eps_growth_q0,6,1,41084,2159,4087,0.037984973185069215,0.7331592389999965,0.05255087138545419,0.09947911595755038,0.5282603376559823,True
eps_growth_q0,6,2,40886,1562,2546,0.06806204766986579,0.7331592389999965,0.03820378613706403,0.062270703908428315,0.6135113904163393,True
eps_growth_q0,6,3,40991,1003,2032,0.06902134319095543,0.7331592389999965,0.02446878583103608,0.04957185723695445,0.49360236220472437,True
eps_growth_q0,6,4,41328,884,1689,0.07970258562094723,0.7331592389999965,0.021389856755710413,0.040868176538908244,0.5233866193013618,True
eps_growth_q0,6,5,40777,761,1288,0.08352672387428695,0.7331592389999965,0.018662481300733256,0.03158643352870491,0.5908385093167701,True
eps_growth_q0,6,6,40654,711,1323,0.08786691477407416,0.7331592389999965,0.017489053967629262,0.032542923205588624,0.5374149659863946,True
eps_growth_q0,6,7,40917,707,1307,0.08750518887505199,0.7331592389999965,0.01727888163843879,0.031942713297651346,0.5409334353481254,True
eps_growth_q0,6,8,40861,932,1612,0.08569092395748168,0.7331592389999965,0.02280903551063361,0.03945082107633195,0.5781637717121588,True
eps_growth_q0,6,9,41025,1256,1795,0.07801950487621889,0.7331592389999965,0.030615478366849483,0.04375380865326021,0.6997214484679666,True
eps_growth_q0,6,10,40813,1485,2456,0.06553978631797164,0.7331592389999965,0.036385465415431355,0.06017690441771004,0.6046416938110749,True
eps_growth_q0,12,1,40260,1880,3809,0.02938693014855509,0.718131960638919,0.04669647292598112,0.0946100347739692,0.49356786558151744,True
eps_growth_q0,12,2,40075,1457,2432,0.05900582101428031,0.718131960638919,0.03635683094198378,0.06068621334996881,0.5990953947368421,True
eps_growth_q0,12,3,40127,1023,1900,0.06927532208608311,0.718131960638919,0.025494056371022006,0.04734966481421487,0.5384210526315789,True
eps_growth_q0,12,4,40805,815,1582,0.0767508794371603,0.718131960638919,0.019973042519299107,0.038769758608013724,0.5151706700379267,True
eps_growth_q0,12,5,39656,723,1261,0.08583507378308775,0.718131960638919,0.018231793423441597,0.03179846681460561,0.5733544805709754,True
eps_growth_q0,12,6,39747,707,1225,0.08758505652784021,0.718131960638919,0.017787505975293733,0.030819936095805973,0.5771428571428572,True
eps_growth_q0,12,7,40144,724,1401,0.09208441178249238,0.718131960638919,0.0180350737345556,0.034899362295735356,0.5167737330478229,True
eps_growth_q0,12,8,39965,927,1508,0.08905986509274877,0.718131960638919,0.02319529588389841,0.03773301638934067,0.6147214854111406,True
eps_growth_q0,12,9,40180,1190,1884,0.08196708458613933,0.718131960638919,0.029616724738675958,0.04688899950223992,0.6316348195329088,True
eps_growth_q0,12,10,39987,1422,2235,0.07020321984692512,0.718131960638919,0.035561557506189514,0.05589316527871558,0.6362416107382551,True
rev_growth_accel,0,1,51395,2616,5740,0.021176614182839115,0.919107032193123,0.050899892985699,0.11168401595485943,0.4557491289198606,True
rev_growth_accel,0,2,51284,2023,3658,0.05547397074401916,0.919107032193123,0.039447001013961466,0.07132828952499805,0.5530344450519409,True
rev_growth_accel,0,3,51304,1656,3060,0.0708811122551739,0.919107032193123,0.03227818493684703,0.05964447216591299,0.5411764705882354,True
rev_growth_accel,0,4,51281,1522,2714,0.07308248914616522,0.919107032193123,0.029679608431972856,0.052924084943741345,0.5607958732498158,True
rev_growth_accel,0,5,51255,1428,2344,0.07710348871298756,0.919107032193123,0.027860696517412936,0.04573212369524925,0.6092150170648464,True
rev_growth_accel,0,6,51331,1299,2257,0.07683759980245286,0.919107032193123,0.02530634509360815,0.04396953108258168,0.5755427558706246,True
rev_growth_accel,0,7,51297,1338,2380,0.07632821130862699,0.919107032193123,0.026083396689864903,0.04639647542741291,0.5621848739495798,True
rev_growth_accel,0,8,51289,1411,2675,0.06922520529294118,0.919107032193123,0.027510772290354656,0.05215543293883679,0.5274766355140187,True
rev_growth_accel,0,9,51300,1829,3161,0.06034216157676098,0.919107032193123,0.035653021442495124,0.061617933723196884,0.5786143625434989,True
rev_growth_accel,0,10,51418,2462,5205,0.031612747009453046,0.919107032193123,0.04788206464662181,0.10122914154576218,0.4730067243035543,True
rev_growth_accel,3,1,50757,2573,5427,0.02977406902815627,0.9075634315927482,0.050692515318084205,0.10692121283763815,0.47411092684724526,True
rev_growth_accel,3,2,50636,1936,3499,0.05552074028174958,0.9075634315927482,0.03823366774626748,0.06910103483687495,0.5533009431266076,True
rev_growth_accel,3,3,50656,1642,3001,0.07165930925861452,0.9075634315927482,0.032414718888186984,0.05924273531269741,0.5471509496834388,True
rev_growth_accel,3,4,50644,1464,2642,0.07566933881700932,0.9075634315927482,0.028907669220440725,0.052168075191533055,0.5541256623769871,True
rev_growth_accel,3,5,50606,1374,2367,0.07824413324288637,0.9075634315927482,0.02715093071967751,0.046773109907916055,0.5804816223067174,True
rev_growth_accel,3,6,50680,1249,2266,0.07393920035478774,0.9075634315927482,0.024644830307813732,0.04471191791633781,0.5511915269196822,True
rev_growth_accel,3,7,50658,1314,2349,0.07697885672761118,0.9075634315927482,0.025938647400213195,0.04636977377709345,0.5593869731800767,True
rev_growth_accel,3,8,50642,1530,2578,0.07055657130625359,0.9075634315927482,0.030212076932190673,0.05090636230796572,0.5934833204034136,True
rev_growth_accel,3,9,50651,1719,3057,0.056862965882220395,0.9075634315927482,0.03393812560462775,0.06035418846617046,0.562315996074583,True
rev_growth_accel,3,10,50779,2359,5108,0.028323536516627668,0.9075634315927482,0.04645621221371039,0.10059276472557553,0.46182458888018796,True
rev_growth_accel,6,1,50108,2571,5060,0.030343408084140933,0.8961022213147346,0.05130917218807376,0.10098187914105532,0.5081027667984189,True
