label,drawdown_bucket,sector,rows,winners,b_rows,b_winners,winner_rate,bucket_rate,winner_share,population_share,ratio,sufficient
launch_300,20-30,Healthcare,4065,62,30925.0,171.0,0.015252152521525215,0.0055295068714632176,0.36257309941520466,0.13144704931285367,2.758320565661797,False
launch_300,20-30,Industrials,4827,23,30925.0,171.0,0.004764864304951316,0.0055295068714632176,0.13450292397660818,0.15608730800323364,0.8617159569042071,False
launch_300,20-30,Real Estate,119,1,30925.0,171.0,0.008403361344537815,0.0055295068714632176,0.005847953216374269,0.003848019401778496,1.5197306992972628,False
launch_300,20-30,Technology,5022,29,30925.0,171.0,0.0057745917960971725,0.0055295068714632176,0.1695906432748538,0.16239288601455135,1.04432310698424,False
launch_300,20-30,Unknown,4,0,30925.0,171.0,0.0,0.0055295068714632176,0.0,0.00012934518997574778,0.0,False
launch_300,20-30,Utilities,1164,1,30925.0,171.0,0.000859106529209622,0.0055295068714632176,0.005847953216374269,0.037639450282942605,0.15536765740238337,False
launch_300,>30,Basic Materials,1269,78,21977.0,654.0,0.061465721040189124,0.029758383764845065,0.11926605504587157,0.05774218501160304,2.0654925860859885,False
launch_300,>30,Communication Services,888,23,21977.0,654.0,0.0259009009009009,0.029758383764845065,0.035168195718654434,0.040405878873367614,0.8703732402126897,False
launch_300,>30,Consumer Cyclical,2594,161,21977.0,654.0,0.062066306861989204,0.029758383764845065,0.24617737003058104,0.11803248851071575,2.085674657348527,True
launch_300,>30,Consumer Defensive,1283,22,21977.0,654.0,0.0171473109898675,0.029758383764845065,0.03363914373088685,0.058379214633480454,0.5762178189974281,False
launch_300,>30,Energy,1913,100,21977.0,654.0,0.052273915316257184,0.029758383764845065,0.1529051987767584,0.08704554761796424,1.7566113714149605,True
launch_300,>30,Financial Services,3161,22,21977.0,654.0,0.006959822840873141,0.029758383764845065,0.03363914373088685,0.14383218819675114,0.23387771647380584,False
launch_300,>30,Healthcare,2901,33,21977.0,654.0,0.011375387797311272,0.029758383764845065,0.05045871559633028,0.13200163807617055,0.38225825324389884,False
launch_300,>30,Industrials,3563,100,21977.0,654.0,0.028066236317709794,0.029758383764845065,0.1529051987767584,0.1621240387678027,0.943137118584569,True
launch_300,>30,Real Estate,67,3,21977.0,654.0,0.04477611940298507,0.029758383764845065,0.0045871559633027525,0.003048641761841926,1.5046556209776805,False
launch_300,>30,Technology,3417,112,21977.0,654.0,0.03277729002048581,0.029758383764845065,0.1712538226299694,0.1554807298539382,1.1014472519575176,True
launch_300,>30,Utilities,921,0,21977.0,654.0,0.0,0.029758383764845065,0.0,0.04190744869636438,0.0,False
win_100,0-10,Basic Materials,24765,962,431742.0,14535.0,0.03884514435695538,0.03366593938046333,0.06618507051943584,0.05736064594132607,1.1538410949405318,True
win_100,0-10,Communication Services,17992,608,431742.0,14535.0,0.03379279679857715,0.03366593938046333,0.04183006535947712,0.04167303621144109,1.003768123523309,True
win_100,0-10,Consumer Cyclical,55773,1842,431742.0,14535.0,0.03302673336560701,0.03366593938046333,0.12672858617131064,0.12918131661964785,0.9810132725651121,True
win_100,0-10,Consumer Defensive,21562,470,431742.0,14535.0,0.02179760690102959,0.03366593938046333,0.03233574131406949,0.04994186342769524,0.6474676572868467,True
win_100,0-10,Energy,29850,1010,431742.0,14535.0,0.0338358458961474,0.03366593938046333,0.0694874441004472,0.0691385132787637,1.0050468372132422,True
win_100,0-10,Financial Services,68755,1175,431742.0,14535.0,0.017089666206094103,0.03366593938046333,0.08083935328517372,0.15925020035113563,0.5076248137015122,True
