label,lag,field,winners,population,winner_median,winner_coverage,population_median,population_coverage,winner_mean,population_mean
win_100,0,realized_vol_12m,20367,558318,0.5985827613765737,0.9859085776010212,0.37186403479888275,0.9915746939915961,0.6516026844083088,0.4273142469881524
win_100,0,avg_dollar_volume_20d,20367,558318,12.148252072500002,1.0,16.683253847675,1.0,88.74319195481222,87.87324920697854
win_100,0,price,20367,558318,16.85,1.0,30.53,1.0,33.11437943732503,53.939904189011855
win_100,0,marketcap_musd,20367,558318,979.5,1.0,1913.6,1.0,5347.469637158122,11390.61591386971
win_100,0,rev_growth_yoy,20367,558318,0.06681996483159747,0.9273334315313988,0.07192134120252047,0.9623082186137649,2.4324475340003477,2.532039776073878
win_100,0,gross_margin,20367,558318,0.44,0.9498207885304659,0.443,0.9783958246017502,0.5024847764280144,0.46707874879178346
win_100,0,op_margin,20367,558318,0.0361831046181118,0.9469239455982718,0.10299925971567762,0.9764883095296946,-6.867414522043641,-5.0773076597515
win_100,0,cash_to_mcap,20367,558318,0.10470978118894178,1.0,0.07252942403122052,0.9999785068724275,0.21295559898203825,0.14427156547146383
win_100,0,net_debt_to_mcap,20367,558318,0.08064702424179548,1.0,0.1148615613214736,0.9999785068724275,0.7149028818160401,0.39105126214878705
win_100,0,capex_to_rev,20367,558318,0.03374750728639362,0.9461874601070359,0.0313588850174216,0.9756805261517629,0.27568288004039754,0.47168311677569613
win_100,0,rnd_to_rev,20367,558318,0.0,0.9469239455982718,0.0,0.9764883095296946,4.903299543096826,3.431013534329357
win_100,0,shares_chg_4q,20367,558318,0.011559207995792908,0.992880640251387,0.005058215537073529,0.9939138627090655,0.103023318979659,0.125128783107625
win_100,0,shares_chg_8q,20367,558318,0.027093911838774742,0.91584425786812,0.011042211646073885,0.9446337033733464,0.35431102705920153,0.2928859005432029
win_100,0,rev_growth_streak,20367,558318,2.0,0.9273334315313988,3.0,0.9623082186137649,3.7631704346905277,4.4822046106828175
win_100,0,quarters_since_loss,20367,558318,1.0,0.9996563067707566,7.0,0.9998173084156341,3.670579567779961,6.428321653266836
win_100,0,ev11_t12,20367,558318,1.0,1.0,1.0,1.0,1.762802572789316,1.7289304661501153
win_100,0,ev12_t12,20367,558318,0.0,1.0,0.0,1.0,0.17611823047085973,0.16398719009596682
win_100,0,ev21_t12,20367,558318,0.0,1.0,0.0,1.0,0.20287720331909462,0.2200555955566541
win_100,0,ev22_t12,20367,558318,4.0,1.0,4.0,1.0,4.147837187607404,4.0925511984209715
win_100,0,ev23_t12,20367,558318,0.0,1.0,0.0,1.0,0.6825747532773604,0.6429937777395678
win_100,0,ev32_t12,20367,558318,0.0,1.0,0.0,1.0,0.24338390533706486,0.1737289501681837
win_100,0,ev52_t12,20367,558318,2.0,1.0,2.0,1.0,2.5089605734767026,2.382491698279475
win_100,0,ev53_t12,20367,558318,0.0,1.0,0.0,1.0,0.34344773407963863,0.3689008772778237
win_100,0,ev71_t12,20367,558318,1.0,1.0,1.0,1.0,2.6846369126528207,2.7725292754308475
win_100,0,ev81_t12,20367,558318,2.0,1.0,2.0,1.0,2.92207983502725,3.0182333365573024
win_100,0,ev_total_t12,20367,558318,14.0,1.0,14.0,1.0,15.674718908037512,15.564402365676909
win_100,0,insider_net_buys_12m,20367,558318,1.0,0.9279226199243875,0.0,0.8426309021023861,7.422667866024657,5.630027037597565
win_100,0,officer_buys_12m,20367,558318,0.0,0.9279226199243875,0.0,0.8426309021023861,2.4085930472511774,1.715756627612359
win_100,0,inst_pct,20367,558318,0.8048241707678615,0.6424117444886336,0.8242394685995001,0.6000021493127572,0.7457879765437377,0.7771465713104824
win_100,0,inst_pct_delta_4q,20367,558318,0.012881085677501625,0.5890901949231601,0.009267125590458503,0.5334074846234583,0.02569701379126155,0.018452840443065194
win_100,0,spy_drawdown,20367,558318,-0.037396487976590675,1.0,-0.019617405844414293,1.0,-0.09893220488556563,-0.0655562506658882
win_100,0,months_since_trough,20367,558318,2.0,1.0,3.0,1.0,6.045858496587617,8.005928521022069
win_100,6,years_since_first_price,20367,558318,10.518822724161533,1.0,15.931553730321697,1.0,13.074445996726768,15.99029404096398
win_100,6,drawdown_from_3y_high,20367,558318,-0.38093816031798694,0.8013944125300732,-0.19430230394044412,0.8628201132687823,-0.39813345390053445,-0.25589495823540015
win_100,6,months_since_3y_low,20367,558318,20.0,0.8013944125300732,26.0,0.8628201132687823,18.705244455336356,22.574238989637305
win_100,6,realized_vol_12m,20367,558318,0.5244219909987888,0.9535032159866451,0.3665929255529129,0.9698952926468428,0.5816154940870945,0.4239963318899366
win_100,6,avg_dollar_volume_20d,20367,558318,11.51753848975,0.9985761280502774,15.373030679,0.9989145970575908,79.9609049506363,82.77887638972655
win_100,6,price,20367,558318,19.26,0.9988707222467718,29.98,0.9991438570850304,35.05930038340532,52.089289765883926
win_100,6,marketcap_musd,20367,558318,1053.15,0.9988707222467718,1842.8,0.9991438570850304,5390.887426268194,10877.087266061917
win_100,6,rev_growth_yoy,20367,558318,0.07983738430931586,0.8959100505720037,0.07395895096539662,0.9402097012813486,1.2921368044625705,3.3887529375413967
win_100,6,gross_margin,20367,558318,0.438,0.9473658368930132,0.442,0.9759008307093807,0.49132853070743504,0.4581244367850358
win_100,6,op_margin,20367,558318,0.04562599644843096,0.944468993960819,0.10336996852613914,0.9741975003492633,-7.796036799963578,-4.7733735341294645
win_100,6,cash_to_mcap,20367,558318,0.09404343329886246,0.9988216232140227,0.07246762211557425,0.9991062441117786,0.1957548376192335,0.1495304292320191
win_100,6,net_debt_to_mcap,20367,558318,0.07010607381575124,0.9988216232140227,0.1117887773978362,0.9991062441117786,0.7285864381919401,0.4185661684594521
win_100,6,capex_to_rev,20367,558318,0.033871047202216994,0.9433888152403398,0.03133448464593082,0.9731174706887473,-0.17404574173895002,0.44950629171368234
win_100,6,rnd_to_rev,20367,558318,0.0,0.944468993960819,0.0,0.9741975003492633,4.920348739401374,3.1783976006971413
win_100,6,shares_chg_4q,20367,558318,0.010641864161633041,0.9568910492463298,0.005118084825329605,0.9707227780583825,0.11608214357080575,0.10001463937492143
win_100,6,shares_chg_8q,20367,558318,0.026489194895948698,0.8752393577846517,0.01141684446316571,0.9200670585580261,0.6173075626487072,0.2592666522771119
win_100,6,rev_growth_streak,20367,558318,2.0,0.8959100505720037,3.0,0.9402097012813486,4.085822326957856,4.537254065257479
win_100,6,quarters_since_loss,20367,558318,1.0,0.9999509009672509,6.0,0.9996596921467694,3.989786899734852,6.367877977811541
win_100,6,ev11_t12,20367,558318,1.0,0.9986252270830265,1.0,0.995502563055463,1.749348542209548,1.761469358968131
