lag,bucket_type,bucket,label,cell,rows,row_share,pool_share_of_all,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window,members,unconfirmed
3,drawdown,10-20,launch_300,decile 10,157,0.10044785668586052,0.004035574748097882,3,0.01910828025477707,0.003838771593090211,0.04017581739666872,4.977707006369426,1.6983242231400582,14.24097436572481,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,10-20,launch_300,deciles 8-10,469,0.3000639795265515,0.012055315648776476,5,0.010660980810234541,0.003838771593090211,0.04017581739666872,2.777185501066098,1.1884248241003552,6.437175619457189,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,20-30,win_50,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,20-30,win_50,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,20-30,win_100,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,20-30,win_100,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,20-30,launch_300,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,20-30,launch_300,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,>30,win_50,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,>30,win_50,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,>30,win_100,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,>30,win_100,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,>30,launch_300,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,drawdown,>30,launch_300,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,0-12,win_50,decile 10,10522,0.10034714274814985,0.03534846219743672,958,0.09104732940505607,0.07752536812390326,0.3522617707825912,1.1744198268048418,1.1054296563305022,1.2472603327629868,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,0-12,win_50,deciles 8-10,31475,0.3001735713740749,0.10573967379436615,2667,0.0847339158061954,0.07752536812390326,0.3522617707825912,1.092983082270196,1.0539490368696685,1.133324472247903,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,0-12,win_100,decile 10,10522,0.10034714274814985,0.03534846219743672,139,0.013210416270670974,0.010204470893415732,0.3522617707825912,1.2945714097920333,1.0975263803618067,1.526435748018193,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,0-12,win_100,deciles 8-10,31475,0.3001735713740749,0.10573967379436615,388,0.012327243844320889,0.010204470893415732,0.3522617707825912,1.208023813588889,1.0942630596687384,1.3334485120871014,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,0-12,launch_300,decile 10,10522,0.10034714274814985,0.03534846219743672,43,0.004086675536970158,0.0025463492790112154,0.3522617707825912,1.6049155434627074,1.1921161248635619,2.1598683329419535,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,0-12,launch_300,deciles 8-10,31475,0.3001735713740749,0.10573967379436615,108,0.003431294678316124,0.0025463492790112154,0.3522617707825912,1.3475349617584849,1.1165290923439997,1.626136651385397,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,13-24,win_50,decile 10,470,0.10034158838599487,0.013853273204232618,12,0.02553191489361702,0.03821520068317677,0.13806113125239486,0.6681088791156543,0.38373540294088226,1.1537917246487728,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,13-24,win_50,deciles 8-10,1406,0.3001707941929974,0.04144191941521502,50,0.03556187766714083,0.03821520068317677,0.13806113125239486,0.9305689105747913,0.7085625123065954,1.2188042212056975,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,13-24,win_100,decile 10,470,0.10034158838599487,0.013853273204232618,1,0.002127659574468085,0.003842869342442357,0.13806113125239486,0.5536643026004728,0.09776104988565247,3.110226310906646,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
