label,measure,k,winner_median,winner_mean,winner_n,winners,population_median,population_mean,population_months,winner_coverage
launch_300,insider_net_buys_12m,18,0.0,3.9758007117437724,4215,4301,0.0,3.6179819395367097,4215,0.9800046500813764
launch_300,insider_net_buys_12m,21,0.0,3.635349940688019,4215,4301,0.0,3.409801436417406,4215,0.9800046500813764
launch_300,insider_net_buys_12m,24,0.0,3.318623962040332,4215,4301,0.0,3.3186026936026938,4215,0.9800046500813764
launch_300,ev_total_t12,-24,13.0,13.843616516373991,4214,4301,13.0,14.427765726681129,4214,0.9797721460125552
launch_300,ev_total_t12,-21,13.0,14.28896797153025,4215,4301,13.0,14.604949182501105,4215,0.9800046500813764
launch_300,ev_total_t12,-18,13.0,14.663345195729537,4215,4301,13.0,14.74750974447813,4215,0.9800046500813764
launch_300,ev_total_t12,-15,14.0,14.835626185958255,4216,4301,14.0,14.922337870296237,4216,0.9802371541501976
launch_300,ev_total_t12,-12,14.0,14.991956470309912,4227,4301,14.0,15.047538200339558,4227,0.9827946989072309
launch_300,ev_total_t12,-9,14.0,15.197797047105695,4267,4301,14.0,15.182237600922722,4267,0.9920948616600791
launch_300,ev_total_t12,-6,14.0,15.354297693920335,4293,4301,14.0,15.231447124304268,4293,0.9981399674494303
launch_300,ev_total_t12,-3,14.0,15.520111601953035,4301,4301,14.0,15.150390625,4301,1.0
launch_300,ev_total_t12,0,14.0,15.647523831667055,4301,4301,14.0,15.070278759324696,4301,1.0
launch_300,ev_total_t12,3,14.0,15.883050453382934,4301,4301,14.0,15.051791109192921,4301,1.0
launch_300,ev_total_t12,6,15.0,16.105091839107185,4301,4301,14.0,15.026835443037974,4301,1.0
launch_300,ev_total_t12,9,15.0,16.27458730527784,4301,4301,14.0,14.974661424202708,4301,1.0
launch_300,ev_total_t12,12,15.0,16.37247151825157,4301,4301,14.0,14.964648516863063,4301,1.0
launch_300,ev_total_t12,15,15.0,16.421994884910486,4301,4301,13.0,14.875862068965517,4301,1.0
launch_300,ev_total_t12,18,15.0,16.463845617298304,4301,4301,13.0,14.71074026529739,4301,1.0
launch_300,ev_total_t12,21,15.0,16.483143455010463,4301,4301,13.0,14.563288563288562,4301,1.0
launch_300,ev_total_t12,24,15.0,16.45756800744013,4301,4301,13.0,14.39227215455691,4301,1.0
win_100,price_return,-24,0.11945198498642695,0.687638811382911,18606,20367,-0.0809464508094645,0.2216518120113239,20367,0.9135366033289144
win_100,price_return,-21,0.10805908266390252,0.6321314420027586,19037,20367,-0.0704387429293829,0.1702926719822545,20367,0.9346982864437571
win_100,price_return,-18,0.07343926607547058,0.5321072045087715,19422,20367,-0.04176091712690655,0.14937950433932487,20367,0.9536014140521432
win_100,price_return,-15,0.04608294930875578,0.44285112098650087,19769,20367,-0.046877598536504306,0.14819262012092527,20367,0.9706387784160652
win_100,price_return,-12,0.04398946218623523,0.35129931857978675,20082,20367,-0.041465721040189085,0.10264792701730807,20367,0.9860067756665194
win_100,price_return,-9,0.044845988834865125,0.293626826057889,20292,20367,-0.028613768018321606,0.06918802302964788,20367,0.9963175725438209
win_100,price_return,-6,0.03003388248956118,0.20756342366533065,20344,20367,-0.02070425330187642,0.02544027506455628,20367,0.9988707222467718
win_100,price_return,-3,0.005209418628880913,0.09924862973517783,20359,20367,-0.02322163433274549,-0.005729789515395318,20367,0.9996072077380076
win_100,price_return,0,0.0,0.0,20367,20367,0.0,0.0,20367,1.0
win_100,price_return,3,0.27873303167420804,0.3502135587004328,20351,20367,0.05744215494416949,0.07128051206185455,20367,0.9992144154760151
win_100,price_return,6,0.6127392920503506,0.7419290742316419,20208,20367,0.09954299148939205,0.12671648433781896,20367,0.9921932537929002
win_100,price_return,9,1.0066062553361286,1.1892957881480302,19922,20367,0.14496389628628592,0.18961522024666697,20367,0.9781509304266706
win_100,price_return,12,1.3636000911992703,1.6881676519532445,19491,20367,0.1883737219653394,0.25003887829539356,20367,0.956989247311828
