lag,size,combo,n_nn,n_true,events,base,rate,lift,ci_low,ci_high,catch,nn_share,rate_200,rate_500,events_500,sufficient,qualifying_flags_at_lag
3,3,h9_rs6_top_decile AND h9_rs12_top_decile AND ctl_pe_lt_15,293725,2009,14,0.003666695037875564,0.006968641114982578,1.9005237804069246,1.1333437432947784,3.1809389385093634,0.005378409527468306,0.7465768918915484,0.025883524141363863,0.0009955201592832255,2,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,2,h10_sponsorship AND h11_insider_cluster,162716,669,9,0.007079820054573613,0.013452914798206279,1.9001775037369208,1.0019288871938707,3.5831486044837546,0.0034575489819439107,0.4135841536846547,0.03587443946188341,0.0014947683109118087,1,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,3,h5_peg_lt_05 AND h9_rs6_top_decile AND h9_rs12_top_decile,171137,3999,21,0.0028632031647159877,0.005251312828207052,1.8340692315936127,1.2005165950059928,2.7992797176256206,0.008067614291202459,0.43498826980217525,0.01900475118779695,0.0007501875468867217,3,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,3,h5_peg_lt_05 AND h9_rs6_top_decile AND h9_rs12_top_decile,162796,3576,20,0.0030590432197351285,0.005592841163310962,1.8282975301654045,1.1845157353102804,2.81894516258176,0.00768344218209758,0.41378749405864845,0.025447427293064876,0.0013982102908277406,5,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h9_rs12_top_decile AND h11_insider_cluster AND ctl_pe_lt_15,238547,129,1,0.004309423300230143,0.007751937984496124,1.7988341929840437,0.3178431266600853,9.88611181239842,0.000384172109104879,0.6063279524386865,0.046511627906976744,0.007751937984496124,1,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h5_peg_lt_05 AND h9_rs6_top_decile AND ctl_pe_lt_15,162843,2024,11,0.0030581603139219985,0.005434782608695652,1.7771411733892089,0.9932167909771429,3.173776316761359,0.0042258932001536685,0.4139069565283698,0.025197628458498024,0.0014822134387351778,3,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,2,h10_sponsorship AND h11_insider_cluster,170201,661,8,0.006938854648327566,0.012102874432677761,1.7442178927317422,0.885621559057668,3.4153613552007362,0.003073376872839032,0.432609187426448,0.04084720121028744,0.0030257186081694403,2,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,2,h5_peg_lt_05 AND h9_rs6_top_decile,162843,5881,28,0.0030581603139219985,0.004761095051861928,1.5568494006633573,1.077832281473489,2.2472864494544744,0.010756819054936612,0.4139069565283698,0.022615201496344158,0.001190273762965482,7,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,2,h5_peg_lt_05 AND h9_rs12_top_decile,171137,8342,37,0.0028632031647159877,0.004435387197314793,1.549099711809922,1.1245109575446468,2.133020894549461,0.014214368036880523,0.43498826980217525,0.01941980340445936,0.0005993766482857828,5,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
0,3,h9_rs6_top_decile AND h10_sponsorship AND h11_insider_cluster,170169,96,1,0.006934282977510592,0.010416666666666666,1.502198093220339,0.2655170264093721,8.171886985684528,0.000384172109104879,0.43252785127685045,0.07291666666666667,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
0,2,h5_peg_lt_05 AND h9_rs6_top_decile,171196,6532,28,0.0028622164069253956,0.004286589099816289,1.497646750065611,1.0367831602714066,2.162098668548312,0.010756819054936612,0.43513823332799567,0.017758726270667484,0.0007654623392529087,5,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
