feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window
realized_vol_12m,n/a,6,drawdown,0-10,win_50,1,12384,0.1001277469639883,793,0.06403423772609819,0.17412396306657396,0.9691351736783131,0.3677508632261922,0.34375640826167825,0.3932981498859589,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,2,12359,0.09992561569185492,1334,0.10793753539930415,0.17412396306657396,0.9691351736783131,0.619889034790896,0.5891675323570339,0.6520098171616325,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,3,12369,0.10000646820070827,1776,0.14358476837254427,0.17412396306657396,0.9691351736783131,0.8246123384961469,0.7897566387226113,0.8607390643118401,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,4,12356,0.09990135993919891,1968,0.15927484622855292,0.17412396306657396,0.9691351736783131,0.9147210034936796,0.8782745710207785,0.9523837870255212,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,5,12360,0.09993370094274025,2089,0.16901294498381877,0.17412396306657396,0.9691351736783131,0.970647244682795,0.9332956416387783,1.0091800525799788,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,6,12371,0.10002263870247893,2350,0.18996039123757175,0.17412396306657396,0.9691351736783131,1.090949159966816,1.0518059162009652,1.1311978691932683,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,7,12365,0.09997412719716693,2564,0.2073594824100283,0.17412396306657396,0.9691351736783131,1.1908727481165082,1.15035916498959,1.232430265321314,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,8,12360,0.09993370094274025,2809,0.2272653721682848,0.17412396306657396,0.9691351736783131,1.3051929680775352,1.2632544916962793,1.3481047618775213,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,9,12368,0.09999838294982294,2996,0.2422380336351876,0.17412396306657396,0.9691351736783131,1.3911814857014893,1.3482816218559575,1.4350006386910596,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_50,10,12390,0.1001762584693003,2857,0.23058918482647295,0.17412396306657396,0.9691351736783131,1.3242817402353189,1.2821708056295709,1.367351803197446,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,1,12384,0.1001277469639883,81,0.006540697674418605,0.06015426658689219,0.9691351736783131,0.10873206582895724,0.08754139871967193,0.1350103621260937,False,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,2,12359,0.09992561569185492,128,0.010356824985840278,0.06015426658689219,0.9691351736783131,0.1721710790186421,0.14492560290485204,0.20447504813886594,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,3,12369,0.10000646820070827,319,0.025790282157005417,0.06015426658689219,0.9691351736783131,0.4287357093740247,0.3846885189726268,0.4776779905518519,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,4,12356,0.09990135993919891,438,0.03544836516672062,0.06015426658689219,0.9691351736783131,0.5892909543750456,0.5374459361228275,0.6459364103640489,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,5,12360,0.09993370094274025,567,0.045873786407766994,0.06015426658689219,0.9691351736783131,0.7626023723770748,0.7035989208810809,0.8262970124636829,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,6,12371,0.10002263870247893,746,0.06030231994179937,0.06015426658689219,0.9691351736783131,1.002461227828176,0.9349708710139095,1.0744896869133769,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,7,12365,0.09997412719716693,880,0.07116862110796603,0.06015426658689219,0.9691351736783131,1.1831018005208944,1.1099599262946935,1.260671773340201,True,holdout
realized_vol_12m,n/a,6,drawdown,0-10,win_100,8,12360,0.09993370094274025,1176,0.09514563106796116,0.06015426658689219,0.9691351736783131,1.5816938093746735,1.4977812134048045,1.6697886087486817,True,holdout
