feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,3,3695,0.09992968411942882,268,0.07253044654939107,0.08002488100389442,0.9504421139214476,0.906348696049437,0.8073011213572177,1.0164916108219983,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,4,3698,0.10001081782778018,315,0.08518117901568416,0.08002488100389442,0.9504421139214476,1.064433685462635,0.9573133262189241,1.1823122984994274,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,5,3691,0.099821505841627,365,0.0988891899214305,0.08002488100389442,0.9504421139214476,1.235730546311191,1.1205502488435128,1.3613332910340656,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,6,3700,0.10006490696668109,362,0.09783783783783784,0.08002488100389442,0.9504421139214476,1.222592731291616,1.1081295216620815,1.3474803144810121,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,7,3697,0.09998377325832973,307,0.08304030294833649,0.08002488100389442,0.9504421139214476,1.0376810550245656,0.9318633763460032,1.154315432721649,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,8,3694,0.09990263954997837,279,0.07552788305360043,0.08002488100389442,0.9504421139214476,0.9438050029705743,0.8427462839608952,1.0558842404683875,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,9,3697,0.09998377325832973,283,0.07654855288071409,0.08002488100389442,0.9504421139214476,0.9565594090291599,0.8548705832566995,1.0692333417192297,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,10,3705,0.10020012981393336,249,0.06720647773279352,0.08002488100389442,0.9504421139214476,0.8398197771705891,0.7445720187205876,0.9462707753823328,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,1,3703,0.10014604067503245,59,0.015933027275182286,0.01536131544785807,0.9504421139214476,1.0372176347308806,0.8054406233247737,1.334307583731686,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,2,3696,0.09995672868887927,27,0.007305194805194805,0.01536131544785807,0.9504421139214476,0.4755578928114139,0.32715268816284315,0.6905659217225112,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,3,3695,0.09992968411942882,57,0.015426251691474966,0.01536131544785807,0.9504421139214476,1.0042272579999618,0.7763732549278498,1.2976039848554384,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,4,3698,0.10001081782778018,68,0.01838831800973499,0.01536131544785807,0.9504421139214476,1.1970536033942976,0.9459740012074458,1.5132026314196627,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,5,3691,0.099821505841627,69,0.018694120834462206,0.01536131544785807,0.9504421139214476,1.2169609365758354,0.9633766148315849,1.5356965657712558,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,6,3700,0.10006490696668109,88,0.023783783783783784,0.01536131544785807,0.9504421139214476,1.548290826037305,1.2593766692608581,1.901510697359596,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,7,3697,0.09998377325832973,62,0.016770354341357856,0.01536131544785807,0.9504421139214476,1.0917264474050141,0.8530874014917313,1.395671159836987,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,8,3694,0.09990263954997837,40,0.010828370330265295,0.01536131544785807,0.9504421139214476,0.7049116572744534,0.5183359144312795,0.9576497240286657,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,9,3697,0.09998377325832973,53,0.014335948065999459,0.01536131544785807,0.9504421139214476,0.9332500276204154,0.71460249811437,1.2175322194462523,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_100,10,3705,0.10020012981393336,45,0.012145748987854251,0.01536131544785807,0.9504421139214476,0.7906711524205965,0.5917323131316636,1.0553984337151359,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,1,3703,0.10014604067503245,6,0.0016203078584931137,0.0040025962786672436,0.9504421139214476,0.40481421199757683,0.18558119200907253,0.8821191342666693,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,2,3696,0.09995672868887927,7,0.001893939393939394,0.0040025962786672436,0.9504421139214476,0.4731777231777232,0.2292846980351658,0.9754889551914421,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,3,3695,0.09992968411942882,14,0.0037889039242219214,0.0040025962786672436,0.9504421139214476,0.9466115642029038,0.5642233118319188,1.586504511715144,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,4,3698,0.10001081782778018,14,0.0037858301784748512,0.0040025962786672436,0.9504421139214476,0.9458436262113926,0.56376532389339,1.5852195337427042,False
